word,class,level,definition,synonyms
age,noun,a1,the number of years that a person has lived or a thing has existed,[]
age,verb,b1,to become older,[]
aged,adjective,b1,of the age of,"[""elderly"",""long-lived"",""mature""]"
agency,noun,b2,a business or an organization that provides a particular service especially when representing other businesses or organizations,[]
agenda,noun,b2,a list of items to be discussed at a meeting,[]
agent,noun,b1,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.",[]
aggression,noun,c1,feelings of anger and hate that may result in threatening or violent behaviour,[]
aggressive,adjective,b2,"angry, and behaving in a threatening way; ready to attack",[]
ago,adverb,a1,used in expressions of time with the simple past tense to show how far in the past something happened,[]
agree,verb,a1,to have the same opinion as somebody; to say that you have the same opinion,"[""accept"",""approve"",""go along with somebody/​something"",""consent""]"
agreement,noun,b1,"an arrangement, a promise or a contract made with somebody",[]
agricultural,adjective,c1,connected with the science or practice of farming,[]
agriculture,noun,b2,the science or practice of farming,[]
ahead,adverb,b1,further forward in space or time; in front,[]
aid,noun,b2,"money, food, etc. that is sent to help countries in difficult situations",[]
aid,verb,b2,"to help somebody/something to do something, especially by making it easier",[]
aide,noun,c1,"a person who helps another person, especially a politician, in their job",[]
AIDS,noun,b2,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’),[]
aim,noun,b1,the purpose of doing something; what somebody is trying to achieve,"[""intention"",""plan"",""point"",""idea""]"
aim,verb,b1,to try or plan to achieve something,[]
air,noun,a1,the mixture of gases that surrounds the earth and that we breathe,[]
aircraft,noun,b2,any vehicle that can fly and carry goods or passengers,[]
airline,noun,a2,a company that provides regular flights to take passengers and goods to different places,[]
airport,noun,a1,a place where planes land and take off and that has buildings for passengers to wait in,[]
alarm,noun,b1,a loud noise or a signal that warns people of danger or of a problem,"[""terror"",""panic"",""fright""]"
alarm,verb,b2,to make somebody anxious or afraid,"[""scare"",""terrify""]"
albeit,conjunction,c1,although,[]
album,noun,b1,"a book in which you keep photographs, stamps, etc.",[]
alcohol,noun,b1,"drinks such as beer, wine, etc. that can make people drunk",[]
alcoholic,adjective,b1,connected with or containing alcohol,[]
alert,adjective,c1,able to think quickly; quick to notice things,[]
alert,noun,c1,a situation in which people are watching for danger and ready to deal with it,[]
alert,verb,c1,to warn somebody about a dangerous situation or one that requires immediate action,[]
alien,adjective,c1,strange and frightening; different from what you are used to,[]
alien,noun,b2,a person who is not a citizen of the country in which they live or work,[]
